P39	position held (P39)
P2348	time period (P2348)
P937	work location (P937)
P1433	published in (P1433)
P276	location (P276)
P735	given name (P735)
P54	member of sports team (P54)
P27	country of citizenship (P27)
P36	capital (P36)
P800	notable work (P800)
P17	country (P17)
P106	occupation (P106)
P26	spouse (P26)
P1399	convicted of (P1399)
P608	exhibition history (P608)
P166	award received (P166)
P4224	category contains (P4224)
P840	narrative location (P840)
P2922	month of the year (P2922)
P551	residence (P551)
P69	educated at (P69)
P127	owned by (P127)
P411	canonization status (P411)
P5816	state of conservation (P5816)
P97	noble title (P97)
P4584	first appearance (P4584)
P793	significant event (P793)
P108	employer (P108)
P669	located on street (P669)
P1343	described by source (P1343)
P1376	capital of (P1376)
P180	depicts (P180)
P159	headquarters location (P159)
P749	parent organization (P749)
P2388	office held by head of the organization (P2388)
P131	located in the administrative territorial entity (P131)
P825	dedicated to (P825)
P193	main building contractor (P193)
P3279	statistical leader (P3279)
P483	recorded at studio or venue (P483)
P175	performer (P175)
P1366	replaced by (P1366)
P1365	replaces (P1365)
P6902	era name (P6902)
P2860	cites work (P2860)
P1445	fictional universe described in (P1445)
P527	has part(s) (P527)
P1981	FSK film rating (P1981)
P512	academic degree (P512)
P945	allegiance (P945)
P6	head of government (P6)
P739	ammunition (P739)
P2868	subject has role (P2868)
P144	based on (P144)
P1308	officeholder (P1308)
P35	head of state (P35)
P641	sport (P641)
P1344	participant in (P1344)
P1347	military casualty classification (P1347)
P921	main subject (P921)
P2560	GPU (P2560)
P607	conflict (P607)
P361	part of (P361)
P1552	has characteristic (P1552)
P38	currency (P38)
P140	religion or worldview (P140)
P734	family name (P734)
P611	religious order (P611)
P2408	set in period (P2408)
P2389	organization directed by the office or position (P2389)
P155	follows (P155)
P880	CPU (P880)
P1037	director / manager (P1037)
P137	operator (P137)
P263	official residence (P263)
P156	followed by (P156)
P747	has edition or translation (P747)
P770	cause of destruction (P770)
P138	named after (P138)
P112	founded by (P112)
P184	doctoral advisor (P184)
P119	place of burial (P119)
P84	architect (P84)
P4791	commanded by (P4791)
P366	has use (P366)
P463	member of (P463)
P1885	cathedral (P1885)
P126	maintained by (P126)
P542	officially opened by (P542)
P3075	official religion (P3075)
P282	writing system (P282)
P466	occupant (P466)
P241	military branch (P241)
P807	separated from (P807)
P88	commissioned by (P88)
P737	influenced by (P737)
P1598	consecrator (P1598)
P122	basic form of government (P122)
